Moderate,,,,,,Critical,,,
Tim3_CTL (scale),Tim3_CD4/Treg (scale),PDCD1_CD4/Treg (scale),PDCD1_CTL (scale),,,Tim3_CTL (scale),Tim3_CD4/Treg (scale),PDCD1_CTL(scale),PDCD1_Treg (scale)
0,0,0,0,,,0,0,0,0
2.402849961,0,0,0,,,0,2.355630747,0.717873505,0
0,0,0,1.397098581,,,0,0.263089846,0,0
0,0.6699079,0,0,,,0,0,0.894045983,0
0,0,0,0,,,0,0,0,1.000102646
0,0,0,0,,,0,0,0,0
0.541030417,0,0,0,,,1.930494199,0,1.371590075,0
0.663988019,2.396075515,0,0,,,0,0,0,0.891578165
0.777256373,0,1.317406239,0,,,0,0,1.387257889,1.619779471
0,0,0,0,,,0,0,0,0
0,2.493309934,0,0.779669022,,,1.230842633,1.045414823,0,0
0,0,0.720213468,0,,,0.926128273,0,1.498117987,0
0,0,0,0,,,1.794882245,1.180074182,0,1.978881187
1.026345163,1.718089242,0.926091608,0,,,0,0,0,0
0,0,1.403950832,0,,,0,0,0,0.731221148
0,0,1.014649476,0,,,0,0,0,0
0,0,1.307093617,0.724260651,,,0,0,0.890894327,0.77616441
1.037798132,0,0,0,,,0,0,0,0
1.170350776,1.874918402,1.324457129,0,,,0.622509789,1.049642108,0,0
0.651511525,0,1.90059899,0,,,1.866951575,0,0,0
0,0,0,0,,,0,0,0,0
0,0,0,0,,,0,0,0,1.312498239
0,0,0,0,,,0,0,0,0.401392757
0,0,0.968600016,0,,,0,0,0,0.928118932
0.802543111,0,0,0,,,0,0.838704348,0,0
0,0,0,0,,,0,0,0,0
0,0,0,0,,,0,0,0.777581054,0
0.535829229,0,0,0,,,2.115364238,0.937537613,0,1.230318735
0.616015506,0,0,0,,,0,1.458643024,0,0
1.115313703,0,0,0,,,0,0.984746723,0,0
0,0,0,0,,,0,0,0,0
1.443795063,0,0,0,,,0,0,0,0
0,0,0,0,,,0,0,0,0
0,0,1.758387772,0,,,0,0,0,0
0,0,0,0,,,0,1.707604196,0.888169283,0.761293864
0,0,0,0,,,0,0,0,0
0,0,1.847175308,0,,,0,0,0,0
0,0,0,0,,,0,1.355989765,0,0
0,0,0,1.041331817,,,1.765465172,1.001983875,0,1.498939188
0,0,0,0,,,0,0,0,0
0,0,1.277685979,0,,,1.184302174,0,0,0
3.131919291,0,0,0,,,1.844319816,0.74118386,0,1.162161744
0,0,0,0,,,0,0,0.993761873,0
0,0,0,0.788301971,,,0,1.757526961,0,0.587608942
