Samples,O14786(abundances)
F1_126(Abundances),79.7
F1_128N(Abundances),143.2
F1_130N(Abundances),137
F1_129N(Abundances),141.6
F1_132N(Abundances),152.9
F1_131N(Abundances),125.3
F1_134N(Abundances),117.5
F2_128N(Abundances),93.4
F2_127N(Abundances),116.9
F2_130N(Abundances),330.1
F2_129N(Abundances),183
F2_131N(Abundances),92
F4_127C(Abundances),106.8
F4_126(Abundances),88.2
F4_129C(Abundances),114.4
F4_130C(Abundances),142
F4_133C(Abundances),138.6
F5_127N(Abundances),106.1
F5_129N(Abundances),130.9
F5_128N(Abundances),130.4
F5_131N(Abundances),110.5
F5_130N(Abundances),138.5
F5_133N(Abundances),104.2
F6_127N(Abundances),104.5
F5_134N(Abundances),137.6
F6_129N(Abundances),113.5
F6_128N(Abundances),88.2
F6_130N(Abundances),129.8
F6_133N(Abundances),109.4
F1_127N(Abundances),94.5
F1_127C(Abundances),108.9
F1_128C(Abundances),87.7
F1_130C(Abundances),271.9
F1_129C(Abundances),83.8
F1_132C(Abundances),111.3
F1_131C(Abundances),104.2
F2_126(Abundances),103.9
F2_128C(Abundances),69.8
F2_127C(Abundances),104.6
F2_130C(Abundances),140.9
F2_129C(Abundances),97.1
F2_131C(Abundances),96.9
F4_128N(Abundances),109.1
F4_127N(Abundances),104.2
F4_130N(Abundances),110.5
F4_131N(Abundances),110.1
F4_134N(Abundances),99.6
F5_126(Abundances),158.4
F5_127C(Abundances),113.3
F5_129C(Abundances),123
F5_128C(Abundances),119.6
F5_131C(Abundances),38.6
F5_130C(Abundances),132.6
F5_133C(Abundances),113.5
F6_127C(Abundances),140.5
F6_126(Abundances),99.8
F6_129C(Abundances),92.2
F6_128C(Abundances),119
F6_130C(Abundances),147.3
F6_133C(Abundances),111.2
F6_134N(Abundances),123.9
F7_127N(Abundances),99.5
F7_129N(Abundances),79.8
F7_128N(Abundances),69.6
F7_131N(Abundances),118.8
F7_130N(Abundances),108.2
F7_133N(Abundances),152.6
F8_127N(Abundances),88
F7_134N(Abundances),97.8
F8_129N(Abundances),140.5
F8_128N(Abundances),86.7
F8_133N(Abundances),82.5
F7_126(Abundances),96.7
F7_127C(Abundances),113.7
F7_129C(Abundances),85.3
F7_128C(Abundances),83.5
F7_131C(Abundances),103.2
F7_130C(Abundances),86.8
F7_133C(Abundances),110.7
F8_127C(Abundances),177.7
F8_126(Abundances),72.2
F8_129C(Abundances),117.7
F8_128C(Abundances),87.6
F8_133C(Abundances),80
F8_134N(Abundances),94
